bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	977835	977836	23	30	919083	0.45760009212891
chr1	977836	1200862	223027	11	41	1146783	0.611899007743492
chr1	1200863	1455237	254375	18	33	1371964	0.592286977886868
chr1	1455238	1758056	302819	11	35	1699329	0.545698915854107
chr1	1758057	1989902	231846	5	19	1934728	0.541937320462544
chr1	1989903	2211809	221907	3	16	2156893	0.570018070633446
chr1	2211810	2422700	210891	5	27	2372175	0.602121475074952
chr1	2422701	2734370	311670	7	21	2584410	0.59377886621464
chr1	2734371	2941980	207610	1	11	2889533	0.564014257502177
chr1	2941981	3146713	204733	3	14	3095869	0.572711775824719
chr1	3146714	3353562	206849	0	18	3303026	0.571470009523814
chr1	3353563	3562165	208603	5	15	3509428	0.601113119178477
chr1	3562166	3780323	218158	7	12	3724768	0.546544247746921
chr1	3780324	4151406	371083	2	4	4093214	0.507981585604949
chr1	4151407	4372508	221102	0	2	4320243	0.468892185506973
chr1	4372509	4582449	209941	1	0	4530508	0.485136300198484
chr1	4582450	4793865	211416	1	3	4741813	0.496461951791715
chr1	4793866	5009809	215944	0	1	4957105	0.463559997036337
chr1	5009810	5227839	218030	0	0	5171933	0.431009494106543
chr1	5227840	5438635	210796	0	0	5385945	0.452019962427998
chr1	5438636	5646410	207775	0	0	5593695	0.476722416075213
chr1	5646411	5862660	216250	0	2	5808709	0.489317919075272
chr1	5862661	6073585	210925	2	3	6021204	0.517027379400372
chr1	6073586	6292611	219026	4	12	6234130	0.548733940262818
chr1	6292612	6528720	236109	8	17	6465086	0.557361218759031
chr1	6528721	6759913	231193	7	11	6701963	0.519963839735436
chr1	6759914	6983037	223124	1	2	6930938	0.442861368566111
chr1	6983038	7194329	211292	0	2	7141152	0.484178293545939
chr1	7194330	7407623	213294	0	0	7355415	0.447082430823407
chr1	7407624	7622683	215060	0	0	7569546	0.519701478657096
chr1	7622684	7841260	218577	1	4	7786638	0.500382016406058
chr1	7841261	8072428	231168	5	6	8011766	0.44201187015516
chr1	8072429	8306736	234308	0	3	8246644	0.453646482407704
chr1	8306737	8531462	224726	2	8	8477133	0.46996342212301
chr1	8531463	8759015	227553	0	0	8702745	0.403576309695011
chr1	8759016	8997861	238846	1	4	8932603	0.445780963466248
chr1	8997862	9234461	236600	5	3	9175357	0.489602704987357
chr1	9234462	9453049	218588	2	7	9398767	0.524177905465809
chr1	9453050	9694966	241917	2	6	9637133	0.502577330241338
chr1	9694967	9934062	239096	4	7	9876920	0.498874928898819
chr1	9934063	10187900	253838	4	5	10128873	0.461258755584227
chr1	10187901	10425794	237894	1	2	10368430	0.427316367794096
chr1	10425795	10661526	235732	6	4	10604532	0.456887482395171
chr1	10661527	10868839	207313	1	13	10816520	0.554311596475036
chr1	10868840	11100662	231823	3	2	11035651	0.508534528497909
chr1	11100663	11338927	238265	5	4	11278670	0.461750571842223
chr1	11338928	11563057	224130	1	2	11510737	0.509347253825863
chr1	11563058	11784383	221326	5	9	11726876	0.521086542023913
chr1	11784384	12015124	230741	8	7	11952067	0.516284492136456
chr1	12015125	12246873	231749	4	4	12192985	0.518608494535069
chr1	12246874	12470855	223982	1	3	12414426	0.436289523265189
chr1	12470856	12687496	216641	3	3	12633367	0.473557636827439
chr1	12687497	13189333	501837	17	0	12870263	0.452742861933221
chr1	13189334	14004077	814744	13	4	13942335	0.465037960756895
chr1	14004078	14220484	216407	1	3	14163785	0.433059004561117
chr1	14220485	14436688	216204	0	0	14384214	0.429062367023464
chr1	14436689	14650805	214117	0	0	14596380	0.419144673239557
chr1	14650806	14874337	223532	0	0	14820457	0.431047903655675
chr1	14874338	15086148	211811	1	1	15033584	0.46061347144398
chr1	15086149	15303906	217758	0	2	15249494	0.49338715454756
chr1	15303907	15522385	218479	2	2	15467419	0.505398688203516
chr1	15522386	15743198	220813	2	3	15687619	0.477127705343633
chr1	15743199	15983257	240059	7	6	15923419	0.471021707163484
chr1	15983258	16228898	245641	8	10	16167797	0.4891162305965
chr1	16228899	16460783	231885	7	5	16402509	0.523867434288569
chr1	16460784	16695949	235166	4	10	16630303	0.492022656336163
chr1	16695950	17056655	360706	8	18	16949551	0.487247231817805
chr1	17056656	17435203	378548	6	17	17379515	0.49337574212797
chr1	17435204	17653171	217968	3	2	17596821	0.496242567716282
chr1	17653172	17893938	240767	3	4	17836607	0.505987116174477
chr1	17893939	18103597	209659	1	2	18051045	0.535235787636399
